Time Stamp,Name,Load
01/01/2004 03:00:47,CENTRL,1442
01/01/2004 03:00:47,DUNWOD,519
01/01/2004 03:00:47,GENESE,824
01/01/2004 03:00:47,HUD VL,920
01/01/2004 03:00:47,MHK VL,531
01/01/2004 03:00:47,MILLWD,175
01/01/2004 03:00:47,N.Y.C._LONGIL,6120
01/01/2004 03:00:47,NORTH,620
01/01/2004 03:00:47,WEST,1411
01/01/2004 03:05:17,CAPITL,859
01/01/2004 03:05:17,CENTRL,1448
01/01/2004 03:05:17,DUNWOD,519
01/01/2004 03:05:17,GENESE,819
01/01/2004 03:05:17,HUD VL,933
01/01/2004 03:05:17,MHK VL,524
01/01/2004 03:05:17,MILLWD,175
01/01/2004 03:05:17,N.Y.C._LONGIL,6109
01/01/2004 03:05:17,NORTH,624
01/01/2004 03:05:17,WEST,1422
01/01/2004 03:06:47,CAPITL,855
01/01/2004 03:06:47,CENTRL,1440
01/01/2004 03:06:47,DUNWOD,509
01/01/2004 03:06:47,GENESE,819
01/01/2004 03:06:47,HUD VL,934
01/01/2004 03:06:47,MHK VL,526
01/01/2004 03:06:47,MILLWD,184
01/01/2004 03:06:47,N.Y.C._LONGIL,6099
01/01/2004 03:06:47,NORTH,614
01/01/2004 03:06:47,WEST,1379
01/01/2004 03:11:53,CAPITL,858
01/01/2004 03:11:53,CENTRL,1436
01/01/2004 03:11:53,DUNWOD,500
01/01/2004 03:11:53,GENESE,807
01/01/2004 03:11:53,HUD VL,931
01/01/2004 03:11:53,MHK VL,526
01/01/2004 03:11:53,MILLWD,190
01/01/2004 03:11:53,N.Y.C._LONGIL,6070
01/01/2004 03:11:53,NORTH,613
01/01/2004 03:11:53,WEST,1410
01/01/2004 03:16:47,CAPITL,865
01/01/2004 03:16:47,CENTRL,1446
01/01/2004 03:16:47,DUNWOD,505
01/01/2004 03:16:47,GENESE,814
01/01/2004 03:16:47,HUD VL,927
01/01/2004 03:16:47,MHK VL,521
01/01/2004 03:16:47,MILLWD,178
01/01/2004 03:16:47,N.Y.C._LONGIL,6063
01/01/2004 03:16:47,NORTH,615
01/01/2004 03:16:47,WEST,1377
01/01/2004 03:18:17,CAPITL,851
01/01/2004 03:18:17,CENTRL,1444
01/01/2004 03:18:17,DUNWOD,503
01/01/2004 03:18:17,GENESE,813
01/01/2004 03:18:17,HUD VL,925
01/01/2004 03:18:17,MHK VL,527
01/01/2004 03:18:17,MILLWD,176
01/01/2004 03:18:17,N.Y.C._LONGIL,6040
